Continents,total_subs,total_uploads,total_views,total_earnings,num_of_youtubers
North_America,7329500000,1299609,3690291816959,2179396601,313
Asia,4310600000,3728212,2281048375204,1791753749,168
NULL,2922200000,65337,1185152360953,476349305,122
South_America,1221800000,168178,481208974267,347807000,62
Europe,917400000,86816,430566531608,175909994,43
North_America,626900000,33410,198219932123,86250569,33
Asia,534100000,678321,151010669055,117579104,28
Europe,385100000,70160,132520734399,48159405,22
Asia,386500000,858953,264317974741,79348501,18
Asia,481700000,129724,225591685416,320228600,17
Europe,407200000,19558,232996328527,138721269,16
North_America,363900000,46745,191320574087,74244600,15
South_America,328500000,17240,194415353954,150600001,13
Asia,240100000,838543,129128043889,81497700,12
South_America,264500000,10779,154197807651,115100000,11
Australia_and_Oceania,172000000,7179,69141812396,29045208,9
Asia,179100000,13107,79666984516,20329900,9
Europe,125600000,220128,58465331234,31800005,8
Asia,148200000,188422,75320613402,121346700,7
Europe,116400000,6743,54232247240,67573000,6
Asia,155400000,507947,113293417419,157100447,6
Europe,83900000,2227,30557640065,4348072,5
Asia,189100000,18856,85682017434,84200119,5
Europe,91600000,28189,92399244760,96112500,4
Europe,63000000,1293,20036902050,27743800,4
Asia,59700000,32039,28978903929,5645100,3
Asia,47800000,5408,25088312556,18100000,3
Asia,67000000,6667,53090079884,17900000,3
Europe,58100000,14329,23866285774,9100000,3
South_America,87200000,6771,29347556577,8000002,3
South_America,27700000,1934,5492461363,3787600,2
Africa,30600000,5936,9824740566,3800000,2
Asia,30200000,3860,17007652162,7100000,2
Europe,39400000,1805,19894897856,60200000,2
Asia,30500000,641,4521573939,7600000,1
Europe,20200000,1935,20919403720,59800000,1
Asia,17700000,1716,9059696049,5700000,1
South_America,14400000,399,1629801448,48100,1
Africa,14500000,176,4315486422,1800000,1
North_America,46100000,543,10323391593,1600000,1
Europe,13200000,172,2036408398,977700,1
North_America,46300000,1,22936630813,5,1
Asia,20400000,0,13397000296,0,1
Europe,15100000,159,2400037562,4,1
Asia,17600000,128,2977741577,1100000,1
Asia,13900000,6,12129583055,0,1
North_America,41900000,84,22477745835,8800000,1
South_America,31200000,65,9673649438,172,1
Australia_and_Oceania,13100000,12,6637820731,18,1
Europe,19400000,10728,5529131886,2800000,1
